,MF: KIRC,MF: BRCA,MF: READ,MF: PRAD,MF: STAD,MF: HNSC,MF: LUAD,MF: THCA,MF: BLCA,MF: ESCA,MF: LIHC,MF: UCEC,MF: COAD,MF: LUSC,MF: CESC,MF: KIRP,METH: KIRC,METH: BRCA,METH: READ,METH: PRAD,METH: STAD,METH: HNSC,METH: LUAD,METH: THCA,METH: BLCA,METH: ESCA,METH: LIHC,METH: UCEC,METH: COAD,METH: LUSC,METH: CESC,METH: KIRP,GE: KIRC,GE: BRCA,GE: READ,GE: PRAD,GE: STAD,GE: HNSC,GE: LUAD,GE: THCA,GE: BLCA,GE: ESCA,GE: LIHC,GE: UCEC,GE: COAD,GE: LUSC,GE: CESC,GE: KIRP,ohnolog,essentiality_percentage,essentiality_oneCellLine,expressed_tissues_rnaseq,ppin_degree,ppin_hub,ppin_betweenness,ppin_clustering,complexes,mirna,ollivier_mean,ollivier_std,ollivier_min,ollivier_max,ollivier_median,ollivier_degree,forman_mean,forman_std,forman_min,forman_max,forman_median,forman_degree,positive_curvature_degree,negative_curvature_degree,curvature_homophily,labels
ORC1,0.41558605,0.49649927,-0.36630076,0.38232067,-0.22846319,-0.29069823,0.5969449,0.66335887,0.34100384,-0.43505645,-0.5232038,-0.26163274,0.35253018,-0.40537044,-0.5805805,0.33035505,-0.52146417,-0.5041743,-0.49224624,-0.40781924,-0.55710614,-0.4454661,-0.53411365,-0.361583,-0.49265084,-0.55626446,-0.5651435,-0.46236566,-0.5145544,-0.5132455,-0.5673262,-0.43303198,0.14724548,1.3007834,-0.08621982,-0.5198223,1.350198,0.68485606,2.1427197,0.31574062,1.8191725,3.9472408,3.1814978,2.693407,0.26417145,2.3121169,2.4870634,-0.3816468,-0.82917017,1.1466981,0.6653069,-1.1037599,0.667136,1.7305322,-0.102813974,-0.09971288,0.70750624,0.9768053,-0.386289,-0.38514778,-0.3828964,0.02501091,-0.27822828,0.667136,-0.5716661,1.4681157,-2.300716,0.20719752,-0.44363573,0.667136,0.13843283,1.028206,0.40459147,0.0
RPL3,1.1430527,0.17435768,-0.36630076,0.38274017,-0.69487053,-0.2659764,-0.51688725,-0.4201376,0.36236513,2.775162,0.46485564,-0.74412304,-0.6455928,-0.40537044,1.1139318,-0.5959015,-0.5460472,-0.5721535,-0.50447243,-0.51619804,-0.645891,-0.55132484,-0.5256641,-0.4824213,-0.55357534,-0.604499,-0.5720254,-0.49186197,-0.50992584,-0.5095314,-0.5467963,-0.53411144,-0.29616272,-0.053156327,-0.6915044,-0.32525286,0.051254738,0.3290444,-0.8244694,-0.4166653,-0.08182302,-0.21873723,-0.85140926,-0.29407492,-0.58776224,-0.8253545,0.21279326,-0.6576172,1.2060251,3.9100108,0.6653069,0.7038051,1.950229,1.7305322,0.38134536,0.3409702,1.0995033,-0.24718882,0.64651126,0.5796713,-1.7600158,0.75551045,0.66770667,1.950229,0.69953877,0.9618,-1.864689,1.4304463,0.62754416,1.950229,2.4599655,0.19201943,0.55840886,0.0
MT-ND1,-0.31004956,-0.15661818,-0.36630076,-0.4674756,-0.22442727,-0.26652962,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.25257152,-0.14722705,-0.40537044,-0.5805805,-0.5959015,-0.3920009,-0.41093162,-0.3935965,-0.3867642,-0.4030403,-0.4092409,-0.40127,-0.31089464,-0.40675032,-0.42548034,-0.39212856,-0.3893936,-0.41045827,-0.38840944,-0.41021627,-0.35050032,-0.3225077,-0.3281358,-0.32392937,-0.3302296,-0.29631066,-0.32020155,-0.33701876,-0.3169829,-0.3287648,-0.31863725,-0.2840533,-0.32902434,-0.31792724,-0.3332574,-0.34368563,-0.3164589,-0.82917017,-0.44095284,0.6653069,0.5101375,0.16961016,1.7305322,-0.15818846,0.8193596,-0.2724866,-0.34918836,1.1887406,0.3731357,-0.46296266,0.8477136,1.2688779,0.16961017,0.90476966,-0.5914402,0.8091813,0.46516156,0.80473185,0.16961017,0.45262522,-0.30969253,0.5869814,0.0
COMMD9,-0.31004956,-0.15661818,-0.36630076,-0.4674756,-0.22442727,-0.26652962,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.25257152,-0.14722705,-0.40537044,-0.5805805,-0.5959015,-0.3920009,-0.41093162,-0.3935965,-0.3867642,-0.4030403,-0.4092409,-0.40127,-0.31089464,-0.40675032,-0.42548034,-0.39212856,-0.3893936,-0.41045827,-0.38840944,-0.41021627,-0.35050032,-0.3225077,-0.3281358,-0.32392937,-0.3302296,-0.29631066,-0.32020155,-0.33701876,-0.3169829,-0.3287648,-0.31863725,-0.2840533,-0.32902434,-0.31792724,-0.3332574,-0.34368563,-0.3164589,-0.82917017,-0.3462795,0.6653069,-1.1683156,1.6360023,1.7305322,0.15663864,0.53964543,0.70750624,-0.009189928,0.37478492,0.15467918,-0.58657914,0.8904343,0.29482514,1.6360022,0.28686863,1.0678227,-2.066672,1.4138035,0.24095292,1.6360022,2.0410423,0.19201943,-0.36096543,0.0
PSMB5,-0.31004956,-0.15609333,-0.36630076,-0.4674756,-0.69487053,-0.6517486,-0.51688725,-0.4201376,-0.46643153,-0.43505645,1.4506952,-0.004350869,-0.6455928,-0.40537044,-0.5805805,0.33211976,-0.4889602,-0.48942125,-0.22477022,-0.3466483,-0.5550566,-0.53961706,-0.40492615,-0.46805704,-0.41473934,-0.5303793,-0.562823,-0.5176547,-0.42077482,-0.2704195,-0.2291209,-0.43686455,-0.46768388,-0.31928396,-0.570655,-0.2594124,-0.71040106,-0.4368206,-0.1937068,-0.6859124,-0.33129516,-0.13553889,-0.18010345,-0.1519555,-0.33078727,-0.20958707,-0.66515994,-0.5547619,1.2060251,1.6419983,0.6653069,0.7038051,1.7014661,1.7305322,-0.04236263,-0.016779555,0.70750624,1.7248018,0.11407753,0.6563003,-0.18204972,0.79279727,-0.14742109,1.7014661,-0.13697976,1.4549247,-1.82301,1.3721963,-0.32282597,1.7014661,1.1682856,1.506027,0.33991888,0.0
RPA2,-0.31004956,-0.15636733,-0.36630076,0.3821208,-0.21983236,-0.26597843,0.041549794,-0.4201376,-0.46643153,-0.43505645,0.46413964,-0.25362563,-0.1420992,-0.40537044,-0.5805805,0.33095372,-0.18032975,0.29619503,-0.5382377,-0.49441683,-0.13555303,-0.009608505,-0.30865368,-0.2933886,-0.52161235,-0.1761923,-0.3320908,-0.4029244,-0.24425292,-0.095556706,-0.42495966,-0.49365014,-0.63265854,-0.6864013,-0.5774212,-0.3214382,-0.5118085,-0.69542795,-0.64081365,-0.6548997,-0.64641106,-0.4512059,-0.24497974,-0.48591724,-0.47794294,-0.8269921,-0.45072246,-0.40093124,1.2060251,4.141103,0.6653069,0.7038051,2.0418785,1.7305322,0.631321,-0.7106191,5.0194745,-0.3151885,-0.44883558,0.32559052,-0.9518916,0.7728859,-0.45145,2.0418785,-0.7343836,1.0559434,-1.9736958,1.521982,-0.6449853,2.0418785,0.8366381,2.581124,0.41629922,0.0
EIF3B,0.4162568,0.17273495,-0.36630076,-0.4674756,0.71867627,0.11629867,0.040774833,0.6474604,-0.46643153,-0.43505645,1.4500526,-0.49620292,-0.14186965,-0.40537044,0.26249588,1.255766,-0.53565556,-0.52570176,-0.5346186,-0.45610824,-0.6139568,-0.48437527,-0.46325183,-0.38824037,-0.51985264,-0.5754938,-0.49036986,-0.46719718,-0.5011272,-0.5772773,-0.5638732,-0.45410392,-0.16087049,-0.72917366,0.36252114,0.18769595,0.021768741,-0.16902177,0.07857331,-0.5449667,-0.49372235,0.08443393,0.004847045,-0.54910785,0.3523995,0.07479593,-0.61329204,-0.2442707,-0.82917017,4.9748654,0.6653069,0.7038051,0.9158989,1.7305322,-0.16654722,1.0602335,1.295502,-0.5531874,0.75032157,-0.13240175,-0.33126894,0.8022829,0.6030798,0.915899,0.6358634,0.7922574,-2.0538478,0.88955396,0.56713927,0.915899,1.4650229,-0.33358356,0.6628348,0.0
NOS3,-0.31004956,0.49935028,-0.36630076,-0.4674756,1.619466,0.4531589,0.00053465297,-0.4201376,2.834745,-0.43505645,0.45651948,0.6897436,-0.14504883,-0.40537044,1.951611,-0.5959015,-0.4191132,1.4277376,0.15558423,0.33555958,1.3200353,2.8971105,1.1719946,0.65459347,3.5364575,2.3486936,3.873192,0.6840821,-0.12738894,2.8736038,1.6703532,0.2978318,-0.1732989,-0.15418416,0.87477547,-0.5789692,0.21688674,0.21370627,-0.19657281,0.45216545,0.3792789,-0.5971986,-0.61367553,0.36745372,0.96442044,0.5145021,1.4728205,1.5475305,1.2060251,-0.4729906,0.6653069,0.38102564,0.025589552,-0.5778569,1.7014544,-1.0994706,1.0015041,-0.6551869,-1.6115677,-0.19958743,-0.99307877,-1.0918314,-1.5053182,0.025589531,-0.78650457,0.8888798,-1.2908008,-0.39194474,-0.49195963,0.025589531,-0.5248622,0.7654045,-0.3823421,1.0
MRPS7,-0.31004956,-0.15627745,-0.36630076,-0.4674756,-0.69487053,-0.2669356,-0.51688725,-0.4201376,-0.46643153,-0.43505645,0.4587065,-0.25623727,-0.14166407,-0.40537044,0.2650528,-0.5959015,-0.5651712,-0.4590626,-0.49042118,-0.34686625,-0.5416581,-0.34244743,-0.43426406,-0.39335996,-0.4330605,-0.58265084,-0.55129236,-0.3838785,-0.45646864,-0.5426436,-0.5635721,-0.42352873,-0.31334636,-0.38325116,-0.62195367,-0.6220923,-0.49242118,-0.56912744,-0.36756995,-0.58442247,-0.3748937,-0.72218466,-0.45490167,-0.20333228,-0.67618084,-0.3236747,-0.45605135,-0.51133233,-0.82917017,0.64876443,0.6653069,0.7038051,1.5705383,1.7305322,1.4195411,-0.0031072618,0.3155091,-0.34918836,-0.3083812,0.30440876,-0.89879423,0.076371595,0.13392322,1.5705383,0.12513798,0.8438569,-2.5411718,0.63158995,0.44230253,1.5705383,0.9937343,1.506027,-1.8055155,0.0
NDC80,0.41652176,-0.1574946,-0.36630076,-0.4674756,-0.69487053,-0.6517486,-0.51688725,0.6633826,2.0189574,-0.43505645,-0.5232038,-0.25165835,-0.6455928,-0.40537044,-0.5805805,0.33172953,-0.5862652,-0.48091388,-0.44960427,-0.35835814,-0.49304426,-0.41470087,-0.4688028,-0.3002876,-0.4630318,-0.57306606,-0.47248983,-0.4022931,-0.50106066,-0.5371247,-0.51584816,-0.27271095,1.3901746,2.5349479,-0.66807795,0.7471025,1.850464,0.70530653,2.6646464,1.1128961,2.1598442,1.6921804,3.8346722,2.0738463,0.1500811,2.7730153,0.93711436,0.30883428,-0.82917017,1.6992254,0.6653069,-0.3936451,1.2039403,1.7305322,-0.008961253,0.12026527,0.80550545,-0.7911863,0.10896862,0.31032944,-0.4361488,0.53778845,-0.016059147,1.2039403,0.21802165,0.4419871,-0.88362867,0.8396255,0.007387384,1.2039403,1.1333754,0.6459493,0.16404632,0.0
GNB3,0.4160523,-0.15617047,-0.36630076,0.3828815,-0.69487053,0.88685316,-0.51688725,-0.4201376,-0.46643153,-0.43505645,0.46449128,-0.25206667,-0.6455928,-0.40537044,0.26597846,-0.5959015,0.97596246,0.28902948,-0.37775728,-0.49656177,0.013800553,0.568073,0.89296824,0.84196746,-0.6055831,0.059864476,1.4618018,0.06738214,-0.31425074,1.0356581,-0.4651971,0.14957187,-0.63109344,-0.19868945,-0.6856964,0.7185148,-0.103861585,-0.64834213,0.5288803,-0.4387518,-0.41670248,-0.060082648,-0.40751144,0.70626724,-0.7552087,0.43084183,0.3638883,-0.5244373,1.2060251,-0.4090951,0.6653069,-0.5873127,5.747137,1.7305322,0.6991329,-0.5335756,4.0394816,-0.7911863,-0.2637518,0.10732978,-0.75158805,0.9064575,-0.27137393,5.747137,-0.72270745,1.6246494,-1.3773649,4.043372,-0.9349288,5.747137,3.6818247,5.4480495,-1.4243264,0.0
POLR1C,-0.31004956,-0.15914766,-0.36630076,0.38163543,-0.69487053,0.100135155,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.74412304,-0.6455928,-0.40537044,-0.5805805,-0.5959015,-0.59140253,-0.58059657,-0.55503863,-0.54635394,-0.64721,-0.56381303,-0.5884921,-0.48959172,-0.624069,-0.6098404,-0.57850355,-0.5331182,-0.51803577,-0.59328014,-0.5721813,-0.5508443,-0.6246786,-0.70784634,0.21433954,-0.22402696,0.28581297,-0.7067097,0.014991764,-0.68237174,-0.2300695,0.07261685,-0.26532492,-0.214069,0.4408346,-0.06847105,-0.58240443,-0.45054474,-0.82917017,1.5371745,0.6653069,0.7038051,0.37909478,1.7305322,0.071760625,-0.43074405,0.021511242,-0.7911863,-0.6245484,0.39422008,-1.2550049,0.49049413,-0.44913685,0.37909475,-0.27593398,0.59426576,-0.80668277,0.4069116,0.007387384,0.37909475,-0.001208226,0.69373137,-0.05192092,0.0
RPL36,-0.31004956,-0.48673418,-0.36630076,-0.4674756,-0.69487053,-0.26570883,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.74412304,-0.6455928,-0.40537044,-0.5805805,-0.5959015,-0.59140253,-0.58059657,-0.55503863,-0.54635394,-0.64721,-0.56381303,-0.5884921,-0.48959172,-0.624069,-0.6098404,-0.57850355,-0.5331182,-0.51803577,-0.59328014,-0.5721813,-0.5508443,0.26539585,-0.7053428,-0.2380216,0.605737,-0.30751762,-0.32764232,-0.46557105,0.06343708,-0.7313698,-0.78408235,-0.46768543,-0.568858,-0.15113464,-0.37040395,-0.2068467,-0.1591375,1.2060251,5.0015726,0.6653069,0.7038051,2.0942497,1.7305322,-0.1232394,0.2581456,1.1975025,-0.24718882,0.6090252,0.5558003,-0.2792668,0.80538386,0.5842326,2.0942497,0.6658719,1.0228611,-1.82301,1.6218389,0.52284235,2.0942497,2.5821514,0.28758362,0.66877437,0.0
WDR36,-0.31004956,-0.15661818,-0.36630076,-0.4674756,-0.22442727,-0.26652962,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.25257152,-0.14722705,-0.40537044,-0.5805805,-0.5959015,-0.3920009,-0.41093162,-0.3935965,-0.3867642,-0.4030403,-0.4092409,-0.40127,-0.31089464,-0.40675032,-0.42548034,-0.39212856,-0.3893936,-0.41045827,-0.38840944,-0.41021627,-0.35050032,-0.3225077,-0.3281358,-0.32392937,-0.3302296,-0.29631066,-0.32020155,-0.33701876,-0.3169829,-0.3287648,-0.31863725,-0.2840533,-0.32902434,-0.31792724,-0.3332574,-0.34368563,-0.3164589,-0.82917017,0.96916246,0.6653069,0.7038051,1.2432185,1.7305322,0.0551226,0.16342877,-0.17448731,-0.7571864,0.43027145,0.28807935,-0.27465698,0.7330253,0.12995543,1.2432187,0.31772828,0.721384,-2.4321651,1.0060538,-0.08926043,1.2432187,1.744305,-0.118564166,0.9206717,0.0
VAMP2,-0.31004956,-0.15620923,-0.36630076,-0.4674756,-0.22363427,-0.2669699,-0.51688725,-0.4201376,-0.46643153,-0.43505645,-0.5232038,-0.25588953,-0.6455928,-0.40537044,-0.5805805,-0.5959015,5.2854548,0.65514576,1.4391353,2.575244,2.2408898,0.3422653,-0.39567947,1.8744063,-0.18414193,1.2705781,-0.39685717,1.6521033,1.0927595,0.008178394,0.6273622,1.2227303,-0.2047791,0.4966294,0.6669821,-0.6093534,0.36901334,-0.09847807,0.72478414,-0.23208275,0.36411,0.6516755,-0.272267,1.326475,0.6686015,0.74077874,1.0200864,0.10445152,1.2060251,-0.47225815,0.6653069,0.7038051,2.3822908,1.7305322,3.4899883,-0.7210341,1.0995033,-0.72318655,-0.75058967,0.35762325,-0.92692703,-0.31090307,-0.70630485,2.382291,-0.67691606,1.0270246,-2.5764387,0.43187585,-0.78593004,2.382291,0.95882404,3.035054,-0.31942695,0.0
MED26,-0.31004956,-0.48673418,-0.36630076,0.3824583,0.71011376,-0.6517486,-0.51688725,-0.4201376,2.0146296,-0.43505645,-0.5232038,-0.25819698,-0.14167601,-0.40537044,-0.5805805,-0.5959015,-0.53718925,-0.57636046,-0.537704,-0.54064447,-0.62276417,-0.5582315,-0.5182981,-0.21603507,-0.57868105,-0.47980148,-0.5681575,-0.52258795,-0.46950194,-0.4554122,-0.48180294,-0.46455196,-0.38146326,-0.5911972,-0.5117139,-0.3696031,-0.6361071,-0.6270293,-0.24141686,-0.72841835,-0.54695356,-0.552335,-0.23812476,-0.64852846,-0.6322347,-0.6163422,-0.6438729,-0.5854616,-0.82917017,1.2556579,0.6653069,0.63924915,0.14342459,-0.5778569,-0.18605265,0.9189867,1.0995033,-0.17918916,0.8720666,0.6876787,0.045141518,0.8818184,1.1958988,0.1434246,0.71444595,-0.066545896,-0.0404298,0.47348297,0.732246,0.1434246,0.34789443,-0.21412835,-0.39848262,0.0
