node_id,MF: KIRC,MF: BRCA,MF: READ,MF: PRAD,MF: STAD,MF: HNSC,MF: LUAD,MF: THCA,MF: BLCA,MF: ESCA,MF: LIHC,MF: UCEC,MF: COAD,MF: LUSC,MF: CESC,MF: KIRP,METH: KIRC,METH: BRCA,METH: READ,METH: PRAD,METH: STAD,METH: HNSC,METH: LUAD,METH: THCA,METH: BLCA,METH: ESCA,METH: LIHC,METH: UCEC,METH: COAD,METH: LUSC,METH: CESC,METH: KIRP,GE: KIRC,GE: BRCA,GE: READ,GE: PRAD,GE: STAD,GE: HNSC,GE: LUAD,GE: THCA,GE: BLCA,GE: ESCA,GE: LIHC,GE: UCEC,GE: COAD,GE: LUSC,GE: CESC,GE: KIRP,ohnolog,essentiality_percentage,essentiality_oneCellLine,expressed_tissues_rnaseq,ppin_degree,ppin_hub,ppin_betweenness,ppin_clustering,complexes,mirna,ollivier_mean,ollivier_std,ollivier_min,ollivier_max,ollivier_median,ollivier_degree,forman_mean,forman_std,forman_min,forman_max,forman_median,forman_degree,positive_curvature_degree,negative_curvature_degree,curvature_homophily,label
HSP90AB1,0.42097485,0.82929504,-0.270532,1.1294487,0.17757635,0.83232665,-0.47849283,0.40866926,1.8653857,-0.35979557,1.1760355,-0.035983466,-0.11405083,-0.3678864,0.22439195,-0.5667236,-0.5846205,-0.464726,-0.5083123,-0.47949067,-0.35749254,-0.547952,-0.43077156,-0.4010188,-0.5632785,-0.30390218,-0.52437747,-0.497364,-0.46493924,-0.44448563,-0.4145594,-0.4344867,-0.6279357,-0.46395838,0.38371432,-0.37433824,0.3601973,-0.38208303,-0.21442023,-0.61805886,-0.6425228,-0.04931869,0.6778451,-0.7542283,0.3821168,-0.33319405,-0.5582558,-0.56313425,1.1343614,-0.010783557,0.6519202,0.73729146,0.43912598,1.7625941,0.16515565,-0.6601198,3.0853853,1.6407651,-1.4574301,0.84232306,-1.2734903,-1.03701,-1.0025686,0.439126,0.24953927,0.50257367,-0.4809,0.20284577,0.46053052,0.439126,-0.47000965,0.8370303,0.74439085,1.0
RAD21,-0.33055896,-0.17383036,-0.270532,1.1299788,-0.6200142,0.30644405,0.008051536,-0.12334365,-0.4638414,2.1175456,-0.45563754,-0.03637337,-0.11442637,-0.3678864,3.5722523,-0.5667236,-0.55111104,-0.46476012,-0.5141217,-0.5074003,-0.6560255,-0.50549483,-0.43463373,-0.38480535,-0.57641953,-0.5992068,-0.5864095,-0.51339424,-0.5181508,-0.5279201,-0.5682937,-0.5429281,-0.35947505,-0.27367035,-0.5516578,-0.371979,0.17925636,0.051555097,-0.7873066,-0.3384033,-0.8259187,-0.009039065,0.2617018,-0.50862217,-0.46119228,-0.45034632,-0.50687325,-0.49810913,1.1343614,1.8921341,0.6519202,0.73729146,0.083462,-0.5673456,-0.10301624,0.456488,2.75938,0.043198198,0.119616166,2.0939832,-0.9504396,2.2926273,0.77858776,0.083462015,0.593281,0.3406772,0.08421622,0.7577889,0.70747876,0.083462015,0.37129042,-0.11864983,0.36896768,1.0
CARD11,1.1757998,0.4973087,1.1522524,1.9203228,0.58639425,0.83672637,1.9697552,-0.12334365,-0.4638414,0.8815916,1.1840023,0.93149,1.3063065,-0.3678864,0.24185482,1.1431047,-0.28638425,2.0928264,-0.10875198,1.9127018,-0.05847545,0.75093,-0.09794696,-0.26190478,0.01110407,1.1140729,0.31656605,2.5567636,0.4572329,0.55782914,0.3479067,-0.36834404,1.1107159,-0.5755001,-0.35655457,0.14368966,1.7002836,0.42739707,0.93387777,0.7849453,0.48111084,0.91303796,-0.83860946,-0.6208901,-0.48218173,-0.33340517,0.48557383,1.0434089,1.1343614,-0.041591346,0.6519202,-0.14538121,-0.2959129,-0.5673456,-0.18157955,1.3670894,0.8848504,-0.6557372,-0.31613314,0.062027443,-0.12951359,0.043718662,-0.392539,-0.2959129,0.357122,-0.16497523,0.27821136,0.40391213,0.26297194,-0.2959129,-0.32154492,-0.17837983,0.9412842,1.0
ERCC2,-0.33055896,0.16048136,-0.270532,1.916259,-0.21817845,0.3048937,0.010109112,0.14620186,2.6500247,0.88162774,3.6268983,-0.04088479,-0.3977495,-0.3678864,1.0561215,0.2869162,-0.44690183,-0.5870397,-0.4714481,-0.48626262,-0.6322563,-0.5718644,-0.56452125,-0.38903296,-0.48876682,-0.6154657,-0.5139138,-0.4832909,-0.5219463,-0.56547886,-0.5018847,-0.3406236,-0.6758309,-0.739953,-0.590133,-0.7309175,-0.5587994,-0.40369102,-0.5403482,-0.44630498,-0.7917192,-0.6332975,-0.17680879,-0.6819033,-0.5305222,-0.80285287,-0.41642407,-0.61703753,-0.88155335,0.8798799,0.6519202,0.73729146,0.93705547,1.7625941,0.40047488,0.9236361,5.4489226,-0.72230256,0.35128444,1.6607022,-0.9573268,1.888708,0.61997676,0.9370556,0.56374806,1.2134641,-1.3201398,0.98298323,0.72864574,0.9370556,1.7569611,0.1202702,0.21046327,1.0
NONO,0.41937205,0.15959308,-0.270532,0.32668737,-0.6200142,0.28060296,0.00062978116,-0.12334365,0.31401178,-0.35979557,-0.45563754,-0.036751077,0.45261198,0.9785168,0.22508347,-0.5667236,-0.07897009,0.520065,0.578403,-0.38859653,2.8793535,-0.48111856,-0.5648574,-0.37711525,0.6869402,0.6404045,0.54263526,-0.14389847,-0.16120818,0.067088395,-0.48630014,-0.3251493,-0.48995546,-0.5482448,0.22434482,-0.0047197007,-0.3674925,-0.38238937,-0.11927815,-0.57660925,-0.38466293,-0.15126663,0.1470844,-0.72480756,0.16024712,-0.2794973,-0.70968854,-0.6062417,1.1343614,0.5152231,0.6519202,0.73729146,-0.5330222,-0.5673456,-0.18233685,-0.8300165,0.31434134,1.540917,0.4406522,-1.1305814,1.008189,-0.38904834,0.32378125,-0.53302217,0.7289397,-0.96746016,1.0541918,0.291315,0.6228108,-0.53302217,-0.42052144,-0.41729987,-0.8572092,1.0
SDHD,-0.33055896,-0.5097135,-0.270532,-0.44828185,-0.6200142,-0.22887509,-0.47849283,-0.12334365,-0.4638414,0.88196415,-0.45563754,-0.610674,-0.11533815,-0.3678864,-0.5948769,-0.5667236,-0.46092215,-0.5385936,-0.37928796,-0.29054564,-0.3760969,-0.5071719,-0.39763048,-0.3976998,-0.28555316,-0.6199758,-0.22305965,-0.31503883,-0.52889305,-0.44856694,-0.5693861,-0.5473442,-0.47307205,1.2348632,-0.1963882,0.12777163,1.629886,0.6695882,-0.25209808,-0.32604736,0.4010443,0.7295795,-0.11120088,0.563681,-0.17832205,-0.68889713,0.06990042,0.018236756,-0.88155335,0.87773633,0.6519202,0.73729146,-0.48560035,-0.5673456,-0.1765179,-0.8300165,-0.5006716,0.17632882,-0.4953891,1.0816374,-0.051874716,0.35997146,-1.3710836,-0.48560032,0.43012732,-0.16512087,0.67885345,0.50042397,0.16419262,-0.48560032,-0.42052144,-0.35756984,-0.8820379,1.0
EPHA3,-0.33055896,-0.18118256,2.5708947,1.9174801,2.1352835,2.6523352,2.8939233,0.41401798,2.6373973,0.8700762,0.36555567,1.6778889,1.548389,-0.3678864,2.6794121,1.1382276,-0.45210207,-0.3006464,-0.14885977,-0.13879728,-0.40860727,-0.27202657,-0.33966672,-0.23005272,0.5678196,-0.36428773,0.121709146,-0.15366957,0.7456088,-0.0948064,0.59396696,0.015672673,0.87054837,0.27933016,1.049405,0.572124,-0.3941497,-0.67138976,-0.12589313,2.7615504,3.4033775,0.6740074,0.7529793,2.2633119,0.46772602,0.6811677,2.0122778,1.3104546,1.1343614,-0.503708,-1.53393,-0.14538121,-0.10622543,-0.5673456,-0.17932454,0.39736032,-0.33766904,-0.056649685,-0.11584519,-0.035757095,-0.17181581,0.29630166,-0.16669165,-0.10622544,0.29104197,0.2804559,-0.038085043,0.40391213,0.38997388,-0.10622544,-0.32154492,0.060540184,0.91295743,1.0
FGFR2,1.9011436,0.48357263,-0.270532,1.1144794,1.074339,0.039740983,0.48476157,0.14733605,1.0279871,-0.35979557,-0.45563754,5.517793,0.16012533,-0.3678864,1.7706445,-0.5667236,-0.36524174,-0.5218614,-0.3903061,-0.044535782,2.5450437,-0.55427974,-0.09412781,-0.3944459,-0.41292298,-0.56496006,-0.4634316,-0.4666261,-0.34036294,-0.26208302,-0.50322866,-0.5383333,0.55737174,0.3992047,2.120721,2.8629682,-0.7420311,0.10250493,2.0395565,1.2083474,0.3913389,-0.73843205,0.37862512,-0.23942022,2.274919,-0.82006264,0.58805895,0.388556,1.1343614,-0.47290024,0.6519202,0.42205122,2.0988913,1.7625941,0.13647777,-0.1808132,0.31434134,-0.68901986,0.03752004,0.21386263,-0.5504116,0.32727614,0.05588761,2.0988913,-0.21996053,0.7188545,-1.4761794,0.34761357,-0.14978445,2.0988913,2.0538905,1.4044653,0.4548868,1.0
GATA1,-0.33055896,-0.5097135,-0.270532,-0.44828185,-0.6200142,-0.4742777,0.5028229,-0.12334365,-0.4638414,0.8826339,-0.45563754,-0.223261,-0.116352215,-0.3678864,0.24481693,0.28868967,0.58877623,-0.06400807,0.33765283,-0.05538975,-0.3288306,1.2300545,0.00594798,-0.2588517,1.323428,-0.13821252,1.576723,0.37829617,0.19421378,1.3589643,-0.105718404,-0.54740804,-0.6140126,0.38220295,1.6281154,1.079779,1.5496925,0.076590866,2.0337002,1.1185769,2.454915,0.82695055,2.179892,1.9184213,2.4128911,1.9120649,1.1074973,-0.5795906,-0.88155335,-0.3465437,0.6519202,-1.6585345,-0.2247801,-0.5673456,-0.17930485,0.95219356,0.47734398,-0.7888678,-0.36742228,0.007518274,-0.07595606,-0.23738065,-0.49958152,-0.2247801,0.3742667,-0.06689385,0.4089472,0.43608275,0.3123616,-0.2247801,-0.2720567,-0.11864983,0.26013207,1.0
FLNA,0.41740373,1.4472585,2.5208344,0.33769017,1.9188484,1.9112396,0.9403693,0.4184238,1.800588,-0.35979557,0.35566205,2.8735526,0.94449824,0.92829186,3.971691,-0.5667236,-0.22812131,0.37498236,-0.5084545,-0.057450544,2.7892947,-0.47858718,0.16550288,0.63582486,0.9475345,0.73601514,1.05721,-0.03714224,-0.007777773,0.79365134,-0.3428763,0.53399247,0.08502215,-0.2954705,2.0590112,1.5046387,0.6306975,0.6503214,-0.047355033,0.814186,1.5170608,-0.48699233,0.064662725,1.2557513,-0.11657859,-0.270229,1.1657398,-0.62285113,1.1343614,-0.44209245,0.6519202,0.73729146,-0.27220196,-0.5673456,0.35665375,-0.25183067,-0.09316515,-0.056649685,-1.6478387,-0.72882074,-0.40705743,-2.1177642,-1.6167603,-0.27220196,0.0011681082,0.24368128,0.12217179,0.45216808,-0.01572682,-0.27220196,-0.47000965,-0.05891983,-0.0037622745,1.0
PTCH1,0.4104691,1.1512616,-0.270532,-0.44828185,0.40437514,1.0138818,-0.0033081106,0.14330965,1.6945461,-0.35979557,0.3491652,1.9180449,0.38666722,3.266855,0.10825843,0.2784452,0.9627998,1.1241442,0.020984063,0.05492893,-0.37221783,-0.095001474,0.5487456,0.44486034,-0.6046693,0.39651173,0.8738264,-0.091712646,0.03868576,0.19911948,0.111872025,0.66994864,0.055048138,1.0791367,-0.3798695,-0.42537662,-0.66642797,-0.19651228,0.19995773,0.38805193,0.60022235,-0.12672432,-0.43841335,0.5034599,-0.7621127,-0.048923,0.051047895,0.38235873,1.1343614,-0.503708,-1.53393,0.5481474,-0.36704567,-0.5673456,-0.079655655,0.41927776,0.15133874,-0.3894761,-1.1272279,0.86653936,-0.42685905,0.47440502,-1.4930669,-0.3670457,-1.124339,3.5015304,-1.4171373,0.50846666,-1.2046062,-0.3670457,-0.42052144,-0.20824485,0.46327084,1.0
MAPK8,-0.33055896,-0.17440821,-0.270532,-0.44828185,-0.23071338,-0.2145602,-0.002463538,-0.12334365,2.5952637,-0.35979557,-0.45563754,-0.06526619,-0.3977495,-0.3678864,-0.5948769,-0.5667236,0.9375486,-0.5458523,-0.32478288,-0.19226246,-0.33769754,-0.4777223,-0.16074108,-0.39481637,0.09959085,-0.08585913,-0.4887333,0.15945724,-0.5037825,0.04303014,-0.29135558,0.41051725,-0.2865893,-0.4612222,-0.57270455,-0.34925675,-0.45407698,-0.7067122,-0.6828263,-0.14137962,-0.8017445,-0.6527154,-0.6559696,-0.6386425,-0.8006941,-0.6585886,-0.5601377,-0.056079086,1.1343614,-0.06993452,0.6519202,0.73729146,5.4184213,1.7625941,5.3754387,-0.5168005,-0.011663832,1.1082429,-0.93379885,0.5361057,-1.5792933,1.354303,-0.88322085,5.4184213,-0.9678043,0.5511843,-2.1172066,1.6907369,-0.9929363,5.4184213,0.66821986,6.421786,0.65923756,1.0
PTPN11,0.42090794,0.16138873,1.140062,-0.44828185,0.18335694,-0.4742777,0.9822685,-0.12334365,-0.4638414,-0.35979557,-0.45563754,-0.050344925,0.4480392,0.9716615,0.24217944,-0.5667236,-0.49917498,-0.5640565,-0.56686187,-0.53869337,-0.6169194,-0.5641413,-0.51343197,-0.4560014,-0.63234603,-0.60714144,-0.5853953,-0.53903866,-0.49326065,-0.44789678,-0.54921705,-0.5261895,-0.4254554,-0.114081234,-0.5476326,-0.14161249,0.12240461,-0.7063697,-0.3783364,-0.48954487,-0.16027695,-0.71304125,-0.8008655,-0.4953349,-0.18519184,-0.6540872,-0.49985474,-0.6555446,-0.88155335,0.6181201,0.6519202,0.73729146,3.568969,1.7625941,2.576429,-0.34723458,3.5743928,0.009915628,-0.688795,0.52195245,-1.5238148,0.039856073,-0.5218095,3.5689688,-0.4628886,0.5901813,-1.8515177,-0.19928695,-0.4002605,3.5689688,0.47026688,4.211776,0.7310323,1.0
AKT2,1.922796,0.1558254,-0.270532,0.3405129,0.12102529,0.29740167,0.9434204,0.6907737,-0.4638414,0.8612118,0.3620964,-0.05293838,0.13287349,-0.3678864,0.24098438,-0.5667236,-0.1727517,-0.2794842,-0.36015886,-0.1521827,-0.6089254,-0.49893355,-0.5182294,-0.14951152,-0.402555,-0.535918,-0.5789708,-0.52443355,-0.50991976,-0.59739196,-0.27537915,-0.18354002,-0.39532983,-0.6424058,-0.7035612,-0.8090859,-0.4284,-0.3621765,-0.8112218,-0.0055308095,-0.56785214,-0.7611106,-0.6467651,-0.56616557,-0.7938845,-0.6298276,-0.5606013,-0.35760286,1.1343614,-0.22643803,0.6519202,0.73729146,3.7823672,1.7625941,2.2621393,-0.5659217,-0.09316515,0.2096114,-0.97481847,0.1332228,-1.1073047,0.88247716,-0.91991353,3.7823672,-0.64082116,0.08370278,-1.4213547,1.1599216,-0.6683758,3.7823672,-0.074103735,4.809076,0.806854,1.0
BIRC3,-0.33055896,-0.17795512,-0.270532,-0.44828185,0.18211322,-0.21931097,-0.47849283,0.13912724,0.30532193,-0.35979557,-0.45563754,-0.046548583,-0.3977495,2.2761195,-0.5948769,-0.5667236,-0.5798659,-0.5627355,-0.48538896,-0.44943866,-0.51930064,-0.5627123,-0.5744052,0.016858293,-0.6171511,-0.39045566,-0.35467276,-0.5224696,-0.4604837,-0.30387715,-0.5828141,-0.29521555,1.3535087,-0.29193583,-0.14398363,0.2991029,-0.6331489,-0.6242972,-0.687381,-0.6232571,0.5966771,-0.08399646,-0.1927344,-0.5152229,0.13512436,0.804003,-0.4137528,0.12916417,1.1343614,-0.44244057,0.6519202,0.6111953,2.4308443,1.7625941,0.38640675,-0.50535136,1.1293542,-0.72230256,-0.86740154,0.03902724,-0.7151625,1.9485787,-0.8581936,2.4308443,-0.2558183,0.17708594,-0.35016415,1.4172866,-0.18506277,2.4308443,-0.22256845,3.1963656,0.66661984,1.0
